key_Rapid,cTime,eye_voltage_norm,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_p,head_buzz,eye_buzz,lt_state,st_state,dltst,freeze
v20250113_pro0n33iot_Rapid,81.508003,1.3732,0,,0,0,-13.144,-8.144,0,,,,,
v20250113_pro0n33iot_Rapid,81.609001,1.3909,0,,0,0,-12.973,-7.973,0,,,,,
v20250113_pro0n33iot_Rapid,81.709999,1.3861,0,,0,0,-13.071,-8.071,0,,,,,
v20250113_pro0n33iot_Rapid,81.810997,1.3949,0,,0,0,-12.973,-7.973,0,,,,,
v20250113_pro0n33iot_Rapid,81.911003,1.3966,0,,0,0,-13.1,-8.1,0,,,,,
v20250113_pro0n33iot_Rapid,82.011002,1.3901,0,,0,0,-12.997,-7.997,0,,,,,
v20250113_pro0n33iot_Rapid,82.111,1.3941,0,,0,0,-13.077,-8.077,0,,,,,
v20250113_pro0n33iot_Rapid,82.211998,1.3933,0,,0,0,-13.173,-8.173,0,,,,,
v20250113_pro0n33iot_Rapid,82.313004,1.4054,0,,0,0,-13.287,-8.287,0,,,,,
v20250113_pro0n33iot_Rapid,82.414001,1.3925,0,,0,0,-13.34,-8.34,0,,,,,
v20250113_pro0n33iot_Rapid,82.514,1.3756,0,,0,0,-13.523,-8.523,0,,,,,
v20250113_pro0n33iot_Rapid,82.613998,1.399,0,,0,0,-13.238,-8.238,0,,,,,
v20250113_pro0n33iot_Rapid,82.714996,1.3949,0,,0,0,-13.462,-8.462,0,,,,,
v20250113_pro0n33iot_Rapid,82.815002,1.3925,0,,0,0,-13.437,-8.437,0,,,,,
v20250113_pro0n33iot_Rapid,82.915001,1.4014,0,,0,0,-13.436,-8.436,0,,,,,
v20250113_pro0n33iot_Rapid,83.015999,1.3958,0,,0,0,-13.431,-8.431,0,,,,,
v20250113_pro0n33iot_Rapid,83.116997,1.3917,0,,0,0,-13.395,-8.395,0,,,,,
v20250113_pro0n33iot_Rapid,83.217003,1.3716,0,,0,0,-11.485,-6.485,0,,,,,
v20250113_pro0n33iot_Rapid,83.317001,1.1475,0,,0,0,3.575,8.575,1,,,,,
,grav tone played,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,83.417999,1.1395,0,,0,0,20.113,25.113,1,,,,,
v20250113_pro0n33iot_Rapid,83.517998,1.1379,0,,0,0,30.398,35.398,1,,,,,
v20250113_pro0n33iot_Rapid,83.619003,1.1363,0,,0,0,36.807,41.807,1,,,,,
v20250113_pro0n33iot_Rapid,83.720001,1.1161,0,,0,0,41.286,46.286,1,,,,,
v20250113_pro0n33iot_Rapid,83.820999,1.1306,0,,0,0,43.741,48.741,1,,,,,
v20250113_pro0n33iot_Rapid,83.921997,1.1145,0,,0,0,45.878,50.878,1,,,,,
v20250113_pro0n33iot_Rapid,84.022003,1.1322,0,,0,0,46.42,51.42,1,,,,,
